EC3-Nuc-UE2.CC,EC1-InfSinf-UE4.CC,EC1-BioMol-UE7.CC,EC2-Rac-UE4.CC,UE6-PhyHum.CC,UE2-Chim.CC,UE4-Ang.CC,EC1-Fle-UE9.CC,MoyGen-CC.S
0.17910447761194026,0.5483870967741935,0.4615384615384615,0.588235294117647,0.7027764127764127,0.4963503649635037,0.5398230088495575,0.14999999999999997,0.48685754288889416
0.29850746268656714,0.7419354838709677,0.4615384615384615,0.6470588235294117,0.8226044226044229,0.4467153284671532,0.6814159292035398,0.5164630872483222,0.6338178675606441
0.3582089552238806,0.6129032258064515,0.41025641025641024,0.47058823529411764,0.24324324324324334,0.5261313868613139,0.5044247787610618,0.6333333333333333,0.49982213750463744
0.5074626865671642,0.4838709677419355,0.4358974358974359,0.6470588235294117,0.6297297297297297,0.6551824817518248,0.5398230088495575,0.5164630872483222,0.6084159218702436
0.11940298507462686,0.4838709677419355,0.28205128205128205,0.5294117647058824,0.6749385749385755,0.43678832116788324,0.4690265486725664,0.5164630872483222,0.47051139355242866
0.208955223880597,0.4193548387096774,0.358974358974359,0.5294117647058824,0.8248157248157248,0.5162043795620438,0.43362831858407086,0.5164630872483222,0.5113713362791948
0.4776119402985074,0.8064516129032258,0.6666666666666666,0.7647058823529411,0.9115479115479118,0.6353284671532848,0.7876106194690264,0.5164630872483222,0.8085389993401799
0.5970149253731343,0.5483870967741935,0.28205128205128205,0.7058823529411764,0.7599508599508604,0.6948905109489053,0.6106194690265487,0.5164630872483222,0.7093438904477223
0.5074626865671642,0.6129032258064515,0.358974358974359,0.8235294117647058,0.5461916461916463,0.6452554744525546,0.7168141592920354,0.5164630872483222,0.7249529573027811
0.26865671641791045,0.6774193548387096,0.2564102564102564,0.8823529411764706,0.8076167076167082,0.40700729927007295,0.7876106194690264,0.5164630872483222,0.5784418925493695
0.5373134328358209,0.4193548387096774,0.41025641025641024,0.588235294117647,0.9950859950859954,0.3573722627737226,0.4690265486725664,0.5164630872483222,0.6511051423721956
0.5074626865671642,0.4838709677419355,0.5128205128205128,0.47058823529411764,0.9778869778869781,0.6254014598540146,0.43362831858407086,0.5164630872483222,0.7458361381222465
0.3283582089552239,0.4193548387096774,0.3076923076923077,0.5294117647058824,0.842014742014742,0.3375182481751825,0.43362831858407086,0.5164630872483222,0.5714660215096754
0.3283582089552239,0.5483870967741935,0.4615384615384615,0.7647058823529411,0.9464373464373468,0.6353284671532848,0.6460176991150441,0.3,0.6027152578295267
0.26865671641791045,0.6129032258064515,0.5128205128205128,0.588235294117647,0.9950859950859954,0.3672992700729927,0.5752212389380531,0.5164630872483222,0.6599707191145527
0.7462686567164178,0.6129032258064515,0.48717948717948717,0.7058823529411764,0.8864864864864865,0.7147445255474453,0.6460176991150441,0.5164630872483222,0.7531807972487512
0.29850746268656714,0.0967741935483871,0.358974358974359,0.47058823529411764,0.7739557739557744,0.4665693430656934,0.2212389380530973,0.5164630872483222,0.4749412938241323
0.626865671641791,0.6129032258064515,0.4358974358974359,0.8823529411764706,0.712039312039312,0.6750364963503648,0.7522123893805308,0.5164630872483222,0.8361545621974433
0.3582089552238806,0.4193548387096774,0.3076923076923077,0.588235294117647,0.9177641277641277,0.6055474452554747,0.4690265486725664,0.5164630872483222,0.7161686916687218
0.3582089552238806,0.6129032258064515,0.5384615384615384,0.588235294117647,0.9508599508599509,0.5559124087591238,0.5752212389380531,0.5164630872483222,0.7706204748479859
